,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Value
0,0,0,0,1960-12-31,0.0
1,1,1,1,1961-12-31,0.0
2,2,2,2,1962-12-31,0.0
3,3,3,3,1963-12-31,0.0
4,4,4,4,1964-12-31,0.0
5,5,5,5,1965-12-31,0.0
6,6,6,6,1966-12-31,0.0
7,7,7,7,1967-12-31,0.0
8,8,8,8,1968-12-31,0.0
9,9,9,9,1969-12-31,0.0
10,10,10,10,1970-12-31,0.0
11,11,11,11,1971-12-31,0.0
12,12,12,12,1972-12-31,0.0
13,13,13,13,1973-12-31,0.0
14,14,14,14,1974-12-31,0.0
15,15,15,15,1975-12-31,0.0
16,16,16,16,1976-12-31,0.0
17,17,17,17,1977-12-31,0.0
18,18,18,18,1978-12-31,0.0
19,19,19,19,1979-12-31,0.0
20,20,20,20,1980-12-31,0.0
21,21,21,21,1981-12-31,0.0
22,22,22,22,1982-12-31,32.76666666667
23,23,23,23,1983-12-31,30.41499980291
24,24,24,24,1984-12-31,29.37750005722
25,25,25,25,1985-12-31,27.7625
26,26,26,26,1986-12-31,15.08333333333
27,27,27,27,1987-12-31,19.15833333333
28,28,28,28,1988-12-31,15.96666666667
29,29,29,29,1989-12-31,19.59583333333
30,30,30,30,1990-12-31,24.49166666667
31,31,31,31,1991-12-31,21.48333333333
32,32,32,32,1992-12-31,20.5625
33,33,33,33,1993-12-31,18.5625
34,34,34,34,1994-12-31,17.16333333333
35,35,35,35,1995-12-31,18.36916666667
36,36,36,36,1996-12-31,22.07
37,37,37,37,1997-12-31,20.32583650794
38,38,38,38,1998-12-31,14.3492
39,39,39,39,1999-12-31,19.24083333333
40,40,40,40,2000-12-31,30.332125
41,41,41,41,2001-12-31,25.91908288755
42,42,42,42,2002-12-31,26.0931675025
43,43,43,43,2003-12-31,31.10717819885
44,44,44,44,2004-12-31,41.44361734417
45,45,45,45,2005-12-31,56.44478446858
46,46,46,46,2006-12-31,66.04258419627
47,47,47,47,2007-12-31,72.28445260508
48,48,48,48,2008-12-31,99.55774362743
49,49,49,49,2009-12-31,61.65363999962
50,50,50,50,2010-12-31,79.42553055481
51,51,51,51,2011-12-31,95.05432892714
52,52,52,52,2012-12-31,94.15887843084
53,53,53,53,2013-12-31,97.94276561215
54,54,54,54,2014-12-31,93.1125
55,55,55,55,2015-12-31,48.70916666667
56,56,56,56,2016-12-31,43.1875
